model,scorer,n,mean,ci_lo,ci_hi
qwen3-14b-q4,end_state,96,0.750000,0.666667,0.833333
qwen3-14b-q4,tool_correctness,96,1.000000,1.000000,1.000000
qwen3-14b-q4,budget_respected,96,1.000000,1.000000,1.000000
qwen3-14b-q4,trajectory_judge,8,1.000000,1.000000,1.000000
llama3.1-8b-q4,end_state,96,0.250000,0.166667,0.333333
llama3.1-8b-q4,tool_correctness,96,0.666667,0.562500,0.760417
llama3.1-8b-q4,budget_respected,96,1.000000,1.000000,1.000000
llama3.1-8b-q4,trajectory_judge,8,0.875000,0.625000,1.000000
gpt-oss-20b-cloud,end_state,96,0.833333,0.760417,0.906250
gpt-oss-20b-cloud,tool_correctness,96,0.947917,0.895833,0.989583
gpt-oss-20b-cloud,budget_respected,96,0.989583,0.968750,1.000000
gpt-oss-20b-cloud,trajectory_judge,8,1.000000,1.000000,1.000000
glm-5.1-cloud,end_state,96,0.833333,0.760417,0.906250
glm-5.1-cloud,tool_correctness,96,0.989583,0.968750,1.000000
glm-5.1-cloud,budget_respected,96,1.000000,1.000000,1.000000
glm-5.1-cloud,trajectory_judge,8,1.000000,1.000000,1.000000
gpt-oss-120b-cloud,end_state,96,0.833333,0.760417,0.906250
gpt-oss-120b-cloud,tool_correctness,96,0.958333,0.916667,0.989583
gpt-oss-120b-cloud,budget_respected,96,0.979167,0.947917,1.000000
gpt-oss-120b-cloud,trajectory_judge,8,1.000000,1.000000,1.000000
