model,condition,n_cells,end_state_mean,n_end_state,tool_correctness_mean,n_tool_correctness,faithfulness_mean,n_faithfulness,recall_at_k_mean,n_recall,attribution_mean,n_attribution,mean_kb_query_calls
qwen3-14b-q4,with-kb,24,0.800,20,1.000,24,1.000,4,0.300,4,0.500,4,1.33
qwen3-14b-q4,without-kb,24,0.000,20,0.000,24,nan,0,0.000,4,nan,0,0.00
llama3.1-8b-q4,with-kb,24,0.500,20,0.833,24,nan,0,0.200,4,0.500,4,1.33
llama3.1-8b-q4,without-kb,24,0.000,20,0.000,24,nan,0,0.000,4,nan,0,0.00
gpt-oss-20b-cloud,with-kb,24,0.750,20,0.875,24,0.000,3,0.250,4,0.500,4,1.00
gpt-oss-20b-cloud,without-kb,24,0.600,20,0.292,24,nan,0,0.000,4,0.000,1,0.92
glm-5.1-cloud,with-kb,24,0.750,20,1.000,24,0.000,4,0.500,4,0.375,4,2.08
glm-5.1-cloud,without-kb,24,0.650,20,0.000,24,nan,0,0.000,4,nan,0,0.00
gpt-oss-120b-cloud,with-kb,24,1.000,20,1.000,24,0.000,4,0.400,4,0.500,4,1.38
gpt-oss-120b-cloud,without-kb,24,0.750,20,0.625,24,nan,0,0.000,4,0.000,3,2.00
