model,task,category,seed,status,end_state,tool_correctness,budget_respected,trajectory_judge,actual_turns,tool_call_count,error
gpt-oss-120b-cloud,code-find-and-fix-bug,code,1,done,1.000,1.000,1.000,,5,4,
gpt-oss-120b-cloud,code-find-and-fix-bug,code,2,done,1.000,0.000,1.000,,5,4,
gpt-oss-120b-cloud,code-find-and-fix-bug,code,3,done,1.000,0.000,1.000,,5,4,
gpt-oss-120b-cloud,code-find-and-fix-bug,code,4,done,1.000,1.000,1.000,,5,4,
gpt-oss-120b-cloud,code-find-and-fix-bug,code,5,done,1.000,0.000,1.000,,5,4,
gpt-oss-120b-cloud,code-find-and-fix-bug,code,6,done,1.000,1.000,1.000,,5,4,
gpt-oss-120b-cloud,code-find-and-fix-bug,code,7,done,1.000,1.000,1.000,,6,5,
gpt-oss-120b-cloud,code-find-and-fix-bug,code,8,done,1.000,0.000,1.000,,5,4,
gpt-oss-120b-cloud,code-read-and-explain,code,1,done,1.000,1.000,1.000,1.000,3,2,
gpt-oss-120b-cloud,code-read-and-explain,code,2,done,1.000,1.000,1.000,1.000,3,2,
gpt-oss-120b-cloud,code-read-and-explain,code,3,done,1.000,1.000,1.000,1.000,3,2,
gpt-oss-120b-cloud,code-read-and-explain,code,4,done,1.000,1.000,1.000,1.000,3,2,
gpt-oss-120b-cloud,code-read-and-explain,code,5,done,1.000,1.000,1.000,1.000,3,2,
gpt-oss-120b-cloud,code-read-and-explain,code,6,done,1.000,1.000,1.000,1.000,3,2,
gpt-oss-120b-cloud,code-read-and-explain,code,7,done,1.000,1.000,1.000,1.000,3,2,
gpt-oss-120b-cloud,code-read-and-explain,code,8,done,1.000,1.000,1.000,1.000,3,2,
gpt-oss-120b-cloud,code-write-and-execute,code,1,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,code-write-and-execute,code,2,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,code-write-and-execute,code,3,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,code-write-and-execute,code,4,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,code-write-and-execute,code,5,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,code-write-and-execute,code,6,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,code-write-and-execute,code,7,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,code-write-and-execute,code,8,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,fs-grep-extract-and-write,fs,1,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,fs-grep-extract-and-write,fs,2,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,fs-grep-extract-and-write,fs,3,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,fs-grep-extract-and-write,fs,4,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,fs-grep-extract-and-write,fs,5,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,fs-grep-extract-and-write,fs,6,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,fs-grep-extract-and-write,fs,7,done,1.000,1.000,1.000,,4,3,
