task,category,devstral-24b,gemma4-12b,qwen3-coder-30b,any_pass
debug-billing-proration,debug,0,1,1,1
debug-graph-reachability,debug,1,1,1,1
debug-interval-scheduler,debug,0,1,1,1
debug-inventory-ledger,debug,0,1,1,1
debug-job-state-machine,debug,0,0,1,1
debug-token-stats,debug,0,1,1,1
longhaul-epoch-routed-score,longhaul,0,1,0,1
longhaul-fx-invoice-rounding,longhaul,0,0,0,0
longhaul-orders-etl-staged,longhaul,0,0,1,1
longhaul-sensor-alerts-staged,longhaul,0,1,0,1
longhaul-shipment-rate-pagination,longhaul,0,0,0,0
longhaul-vendor-ledger-pagination,longhaul,0,0,0,0
recovery-buggy-script,recovery,0,1,1,1
recovery-decoy-metrics,recovery,1,1,1,1
recovery-dirty-csv,recovery,0,1,1,1
recovery-mixed-units,recovery,0,1,1,1
recovery-moved-records,recovery,0,1,1,1
recovery-truncated-json,recovery,0,1,0,1
spec-freight-rebate,spec,0,1,1,1
spec-invoice-window,spec,0,0,1,1
spec-sensor-window,spec,0,0,0,0
spec-shift-payroll,spec,0,1,1,1
spec-stock-audit,spec,1,1,1,1
spec-tournament-podium,spec,0,1,1,1
