judge,split,n,gt_pass_rate,judge_pass_rate,accuracy,fpr_on_failures,abstains
glm-5.1-cloud,code,62,0.532,0.597,0.871,0.207,0
glm-5.1-cloud,data,34,0.794,0.765,0.971,0.000,0
glm-5.1-cloud,fs,20,0.550,0.550,1.000,0.000,0
glm-5.1-cloud,http,12,0.500,0.667,1.000,0.000,3
glm-5.1-cloud,multi,59,0.678,0.678,1.000,0.000,0
glm-5.1-cloud,shell,53,0.642,0.528,0.849,0.053,0
gpt-oss-120b-cloud,code,62,0.532,0.565,0.871,0.172,0
gpt-oss-120b-cloud,data,34,0.794,0.647,0.853,0.000,0
gpt-oss-120b-cloud,fs,20,0.550,0.550,1.000,0.000,0
gpt-oss-120b-cloud,http,12,0.500,0.417,0.917,0.000,0
gpt-oss-120b-cloud,multi,59,0.678,0.559,0.881,0.000,0
gpt-oss-120b-cloud,shell,53,0.642,0.491,0.849,0.000,0
qwen3-coder-480b-cloud,code,62,0.532,0.629,0.806,0.310,0
qwen3-coder-480b-cloud,data,34,0.794,0.676,0.882,0.000,0
qwen3-coder-480b-cloud,fs,20,0.550,0.650,0.800,0.333,0
qwen3-coder-480b-cloud,http,12,0.500,0.600,1.000,0.000,2
qwen3-coder-480b-cloud,multi,59,0.678,0.712,0.932,0.158,0
qwen3-coder-480b-cloud,shell,53,0.642,0.604,0.887,0.105,0
